Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Calt_Suite,Chrome 89.0.4389.90,All Case Calt_001-Calt_005,,2021-03-31 01:12:02,2021-03-31 01:13:26,1m - 23.806s,FAILED
,,,,,,,
Test Cases/Prospace Factorial/Calt_001,Chrome 89.0.4389.90,Test Factorial in units numbers,Calt_001 Test Factorial in units numbers,2021-03-31 01:12:07,2021-03-31 01:12:25,17.671s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-31 01:12:09,2021-03-31 01:12:18,8.363s,PASSED
"navigateToUrl(""http://z29vzcbmaw5kaw5nigzvcib5b3u.prospace.io/"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:18,2021-03-31 01:12:20,2.504s,PASSED
"setText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/input_Prospace factoral calculator_number""), ""5"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:20,2021-03-31 01:12:22,1.638s,PASSED
"click(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/button_Calclate""))",Chrome 89.0.4389.90,,,2021-03-31 01:12:22,2021-03-31 01:12:23,0.765s,PASSED
"verifyElementText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/p_The factorial of 5 is 120""), ""The factorial of 5 is: 120"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:23,2021-03-31 01:12:24,1.386s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-31 01:12:24,2021-03-31 01:12:25,1.055s,PASSED
,,,,,,,
Test Cases/Prospace Factorial/Calt_002,Chrome 89.0.4389.90,Test Factorial in tens,Calt_002 Test Factorial in tens,2021-03-31 01:12:25,2021-03-31 01:12:36,10.611s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-31 01:12:26,2021-03-31 01:12:29,2.722s,PASSED
"navigateToUrl(""http://z29vzcbmaw5kaw5nigzvcib5b3u.prospace.io/"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:29,2021-03-31 01:12:31,2.415s,PASSED
"setText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/input_Prospace factoral calculator_number""), ""16"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:31,2021-03-31 01:12:33,1.298s,PASSED
"click(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/button_Calclate""))",Chrome 89.0.4389.90,,,2021-03-31 01:12:33,2021-03-31 01:12:34,0.923s,PASSED
"verifyElementText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/p_The factorial of 16 is 20922789888000""), ""The factorial of 16 is: 20922789888000"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:34,2021-03-31 01:12:34,0.637s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-31 01:12:34,2021-03-31 01:12:36,1.421s,PASSED
,,,,,,,
Test Cases/Prospace Factorial/Calt_003,Chrome 89.0.4389.90,Test Factorial in hundreds,Calt_003 Test Factorial in hundreds,2021-03-31 01:12:36,2021-03-31 01:12:48,11.973s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-31 01:12:37,2021-03-31 01:12:39,2.218s,PASSED
"navigateToUrl(""http://z29vzcbmaw5kaw5nigzvcib5b3u.prospace.io/"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:39,2021-03-31 01:12:43,4.110s,PASSED
"setText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/input_Prospace factoral calculator_number""), ""100"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:43,2021-03-31 01:12:45,1.346s,PASSED
"click(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/button_Calclate""))",Chrome 89.0.4389.90,,,2021-03-31 01:12:45,2021-03-31 01:12:46,0.802s,PASSED
"verifyElementText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/p_The factorial of 100 is 9.33262154439441e157""), ""The factorial of 100 is: 9.33262154439441e+157"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:46,2021-03-31 01:12:46,0.751s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-31 01:12:46,2021-03-31 01:12:48,1.461s,PASSED
,,,,,,,
Test Cases/Prospace Factorial/Calt_004,Chrome 89.0.4389.90,Test Factorial in thousands,Calt_004 Test Factorial in thousands,2021-03-31 01:12:48,2021-03-31 01:13:00,12.245s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-31 01:12:49,2021-03-31 01:12:52,3.067s,PASSED
"navigateToUrl(""http://z29vzcbmaw5kaw5nigzvcib5b3u.prospace.io/"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:52,2021-03-31 01:12:56,4.223s,PASSED
"setText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/input_Prospace factoral calculator_number""), ""1000"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:56,2021-03-31 01:12:57,1.002s,PASSED
"click(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/button_Calclate""))",Chrome 89.0.4389.90,,,2021-03-31 01:12:57,2021-03-31 01:12:58,0.863s,PASSED
"verifyElementText(findTestObject(""Prospace_factorial (Home)/Page_Prospace factorial/p_The factorial of 1000 is 402387260---""), ""The factorial of 1000 is: 402387260077093773543702433923003985719374864210714632543799910429938512398629020592044208486969404800479988610197196058631666872994808558901323829669944590997424504087073759918823627727188732519779505950995276120874975462497043601418278094646496291056393887437886487337119181045825783647849977012476632889835955735432513185323958463075557409114262417474349347553428646576611667797396668820291207379143853719588249808126867838374559731746136085379534524221586593201928090878297308431392844403281231558611036976801357304216168747609675871348312025478589320767169132448426236131412508780208000261683151027341827977704784635868170164365024153691398281264810213092761244896359928705114964975419909342221566832572080821333186116811553615836546984046708975602900950537616475847728421889679646244945160765353408198901385442487984959953319101723355556602139450399736280750137837615307127761926849034352625200015888535147331611702103968175921510907788019393178114194545257223865541461062892187960223838971476088506276862967146674697562911234082439208160153780889893964518263243671616762179168909779911903754031274622289988005195444414282012187361745992642956581746628302955570299024324153181617210465832036786906117260158783520751516284225540265170483304226143974286933061690897968482590125458327168226458066526769958652682272807075781391858178889652208164348344825993266043367660176999612831860788386150279465955131156552036093988180612138558600301435694527224206344631797460594682573103790084024432438465657245014402821885252470935190620929023136493273497565513958720559654228749774011413346962715422845862377387538230483865688976461927383814900140767310446640259899490222221765904339901886018566526485061799702356193897017860040811889729918311021171229845901641921068884387121855646124960798722908519296819372388642614839657382291123125024186649353143970137428531926649875337218940694281434118520158014123344828015051399694290153483077644569099073152433278288269864602789864321139083506217095002597389863554277196742822248757586765752344220207573630569498825087968928162753848863396909959826280956121450994871701244516461260379029309120889086942028510640182154399457156805941872748998094254742173582401063677404595741785160829230135358081840096996372524230560855903700624271243416909004153690105933983835777939410970027753472000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"")",Chrome 89.0.4389.90,,,2021-03-31 01:12:58,2021-03-31 01:13:00,1.826s,FAILED
,,,,,,,
Test Cases/Prospace Factorial/Calt_005,Chrome 89.0.4389.90,Test Factorial in alphabetics and symbol,Calt_005 Test Factorial in alphabetics and symbol,2021-03-31 01:13:00,2021-03-31 01:13:26,25.903s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-31 01:13:02,2021-03-31 01:13:06,3.972s,PASSED
"navigateToUrl(""http://z29vzcbmaw5kaw5nigzvcib5b3u.prospace.io/"")",Chrome 89.0.4389.90,,,2021-03-31 01:13:06,2021-03-31 01:13:22,16.480s,PASSED
"setText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/input_Prospace factoral calculator_number""), ""A!"")",Chrome 89.0.4389.90,,,2021-03-31 01:13:22,2021-03-31 01:13:23,1.202s,PASSED
"click(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/button_Calclate""))",Chrome 89.0.4389.90,,,2021-03-31 01:13:23,2021-03-31 01:13:24,0.712s,PASSED
"verifyElementText(findTestObject(""Object Repository/Prospace_factorial (Home)/Page_Prospace factorial/p_Please enter an integer""), ""Please enter an integer"")",Chrome 89.0.4389.90,,,2021-03-31 01:13:24,2021-03-31 01:13:25,0.681s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-31 01:13:25,2021-03-31 01:13:26,1.266s,PASSED
